date,session_key,pit_duration,lap_number,meeting_key,driver_number,lane_duration,stop_duration
2023-10-08T17:06:26.461000+00:00,9221,39.6,1,1221,63,39.6,
2023-10-08T17:10:53.223000+00:00,9221,29.9,3,1221,77,29.9,
2023-10-08T17:10:56.083000+00:00,9221,28.7,3,1221,20,28.7,
2023-10-08T17:10:56.458000+00:00,9221,28.8,3,1221,18,28.8,
2023-10-08T17:10:57.786000+00:00,9221,29.3,3,1221,40,29.3,
2023-10-08T17:20:57.076000+00:00,9221,27.7,9,1221,22,27.7,
2023-10-08T17:22:22.700000+00:00,9221,28.9,10,1221,31,28.9,
2023-10-08T17:23:48.121000+00:00,9221,28.3,11,1221,14,28.3,
2023-10-08T17:23:54.543000+00:00,9221,28.4,11,1221,10,28.4,
2023-10-08T17:25:14.557000+00:00,9221,28.8,12,1221,81,28.8,
2023-10-08T17:25:18.417000+00:00,9221,28.2,12,1221,16,28.2,
2023-10-08T17:26:49.963000+00:00,9221,28.1,13,1221,4,28.1,
2023-10-08T17:27:05.025000+00:00,9221,29.4,13,1221,2,29.4,
2023-10-08T17:27:12.353000+00:00,9221,39.8,13,1221,27,39.8,
2023-10-08T17:28:26.290000+00:00,9221,28.5,14,1221,63,28.5,
2023-10-08T17:32:34.037000+00:00,9221,28.2,17,1221,1,28.2,
2023-10-08T17:33:00.662000+00:00,9221,27.8,17,1221,11,27.8,
2023-10-08T17:34:28.254000+00:00,9221,29.2,18,1221,23,29.2,
2023-10-08T17:34:36.411000+00:00,9221,28.9,18,1221,24,28.9,
2023-10-08T17:39:12.642000+00:00,9221,29.3,21,1221,77,29.3,
2023-10-08T17:39:13.751000+00:00,9221,28.1,21,1221,18,28.1,
2023-10-08T17:39:21.751000+00:00,9221,28.9,21,1221,20,28.9,
2023-10-08T17:39:23.220000+00:00,9221,28.6,21,1221,40,28.6,
2023-10-08T17:40:53.328000+00:00,9221,27.5,22,1221,22,27.5,
2023-10-08T17:44:55.122000+00:00,9221,27.8,25,1221,81,27.8,
2023-10-08T17:45:09.310000+00:00,9221,27.8,25,1221,16,27.8,
2023-10-08T17:45:11.872000+00:00,9221,28.9,25,1221,31,28.9,
2023-10-08T17:46:30.731000+00:00,9221,28.4,26,1221,14,28.4,
2023-10-08T17:46:43.605000+00:00,9221,30.1,26,1221,10,30.1,
2023-10-08T17:46:57.605000+00:00,9221,29.3,26,1221,2,29.3,
2023-10-08T17:47:58.011000+00:00,9221,27.6,27,1221,4,27.6,
2023-10-08T17:48:27.557000+00:00,9221,28.2,27,1221,27,28.2,
2023-10-08T17:54:08.632000+00:00,9221,33.2,31,1221,11,33.2,
2023-10-08T17:54:12.475000+00:00,9221,28.7,31,1221,23,28.7,
2023-10-08T17:55:21.678000+00:00,9221,28.3,32,1221,63,28.3,
2023-10-08T17:57:52.582000+00:00,9221,28.1,34,1221,1,28.1,
2023-10-08T18:00:11.003000+00:00,9221,28.8,35,1221,24,28.8,
2023-10-08T18:06:12.311000+00:00,9221,28.9,39,1221,77,28.9,
2023-10-08T18:06:14.858000+00:00,9221,29.3,39,1221,18,29.3,
2023-10-08T18:06:24.030000+00:00,9221,30.3,39,1221,20,30.3,
2023-10-08T18:06:33.967000+00:00,9221,28.1,39,1221,40,28.1,
2023-10-08T18:06:37.186000+00:00,9221,28.5,39,1221,27,28.5,
2023-10-08T18:07:58.372000+00:00,9221,27.8,40,1221,22,27.8,
2023-10-08T18:11:23.901000+00:00,9221,27.4,43,1221,81,27.4,
2023-10-08T18:11:45.667000+00:00,9221,27.5,43,1221,16,27.5,
2023-10-08T18:11:57.229000+00:00,9221,29.1,43,1221,31,29.1,
2023-10-08T18:12:08.745000+00:00,9221,33.1,43,1221,11,33.1,
2023-10-08T18:12:52.322000+00:00,9221,27.6,44,1221,4,27.6,
2023-10-08T18:13:19.666000+00:00,9221,28.3,44,1221,14,28.3,
2023-10-08T18:13:33.337000+00:00,9221,34.8,44,1221,10,34.8,
2023-10-08T18:13:41.931000+00:00,9221,28.9,44,1221,23,28.9,
2023-10-08T18:21:40.394000+00:00,9221,28.1,50,1221,63,28.1,
2023-10-08T18:22:43.206000+00:00,9221,29.7,51,1221,1,29.7,
2023-10-08T18:25:18.126000+00:00,9221,28.8,52,1221,24,28.8,
