date,session_key,pit_duration,lap_number,lane_duration,meeting_key,driver_number,stop_duration
2023-09-17T12:07:52.155000+00:00,9165,30.0,2,30.0,1219,24,
2023-09-17T12:37:46.963000+00:00,9165,63.5,19,63.5,1219,2,
2023-09-17T12:37:49.400000+00:00,9165,29.4,20,29.4,1219,55,
2023-09-17T12:37:59.947000+00:00,9165,29.9,20,29.9,1219,63,
2023-09-17T12:38:01.291000+00:00,9165,29.4,20,29.4,1219,4,
2023-09-17T12:38:02.009000+00:00,9165,32.8,20,32.8,1219,16,
2023-09-17T12:38:06.900000+00:00,9165,32.6,20,32.6,1219,44,
2023-09-17T12:38:11.166000+00:00,9165,30.6,20,30.6,1219,14,
2023-09-17T12:38:13.447000+00:00,9165,29.7,20,29.7,1219,31,
2023-09-17T12:38:22.400000+00:00,9165,31.4,20,31.4,1219,20,
2023-09-17T12:38:26.353000+00:00,9165,31.8,20,31.8,1219,10,
2023-09-17T12:38:27.994000+00:00,9165,29.3,20,29.3,1219,81,
2023-09-17T12:38:28.665000+00:00,9165,32.3,20,32.3,1219,40,
2023-09-17T12:38:29.447000+00:00,9165,35.4,20,35.4,1219,27,
2023-09-17T12:38:30.056000+00:00,9165,30.1,20,30.1,1219,23,
2023-09-17T12:39:01.571000+00:00,9165,30.6,20,30.6,1219,24,
2023-09-17T13:12:23.111000+00:00,9165,28.9,39,28.9,1219,11,
2023-09-17T13:13:51.688000+00:00,9165,29.6,40,29.6,1219,1,
2023-09-17T13:14:18.391000+00:00,9165,30.4,40,30.4,1219,77,
2023-09-17T13:19:21.934000+00:00,9165,29.7,43,29.7,1219,23,
2023-09-17T13:19:37.637000+00:00,9165,33.0,43,33.0,1219,20,
2023-09-17T13:19:49.215000+00:00,9165,31.0,43,31.0,1219,2,
2023-09-17T13:20:52.511000+00:00,9165,30.0,44,30.0,1219,63,
2023-09-17T13:20:58.339000+00:00,9165,33.5,44,33.5,1219,44,
2023-09-17T13:21:52.432000+00:00,9165,52.7,44,52.7,1219,14,
