meeting_key,session_key,stint_number,driver_number,lap_start,lap_end,compound,tyre_age_at_start
1212,9110,1,81,1,12,MEDIUM,0
1212,9110,1,22,1,1,MEDIUM,0
1212,9110,1,11,1,37,HARD,0
1212,9110,1,31,1,12,MEDIUM,0
1212,9110,1,77,1,36,HARD,0
1212,9110,1,63,1,12,MEDIUM,0
1212,9110,1,18,1,11,MEDIUM,0
1212,9110,1,27,1,11,MEDIUM,0
1212,9110,1,2,1,6,MEDIUM,0
1212,9110,1,14,1,12,MEDIUM,0
1212,9110,1,23,1,12,MEDIUM,1
1212,9110,1,55,1,38,MEDIUM,0
1212,9110,1,1,1,12,MEDIUM,0
1212,9110,1,4,1,12,MEDIUM,0
1212,9110,1,24,1,12,MEDIUM,0
1212,9110,1,44,1,12,MEDIUM,0
1212,9110,1,20,1,35,HARD,0
1212,9110,1,10,1,10,SOFT,0
1212,9110,1,21,1,11,MEDIUM,0
1212,9110,1,16,1,39,MEDIUM,0
1212,9110,2,22,1,2,HARD,0
1212,9110,3,22,3,70,HARD,0
1212,9110,2,10,10,33,HARD,0
1212,9110,2,27,11,31,HARD,0
1212,9110,2,18,11,27,HARD,0
1212,9110,2,21,11,50,HARD,0
1212,9110,2,1,12,42,HARD,0
1212,9110,2,14,12,41,HARD,0
1212,9110,2,44,12,40,HARD,0
1212,9110,2,31,12,36,HARD,0
1212,9110,2,81,12,37,HARD,0
1212,9110,2,23,12,70,HARD,0
1212,9110,2,4,12,35,HARD,0
1212,9110,2,24,12,32,HARD,0
1212,9110,2,63,12,53,HARD,0
1212,9110,3,18,27,70,HARD,0
1212,9110,3,27,31,69,HARD,0
1212,9110,3,24,32,69,HARD,0
1212,9110,3,10,33,70,HARD,0
1212,9110,3,4,35,70,HARD,0
1212,9110,2,20,35,53,MEDIUM,0
1212,9110,3,31,36,70,HARD,0
1212,9110,2,77,36,70,MEDIUM,0
1212,9110,2,11,37,68,MEDIUM,0
1212,9110,3,81,37,70,HARD,0
1212,9110,2,55,38,70,HARD,0
1212,9110,2,16,39,70,HARD,0
1212,9110,3,44,40,70,MEDIUM,0
1212,9110,3,14,41,70,HARD,0
1212,9110,3,1,42,70,MEDIUM,0
1212,9110,3,21,50,69,HARD,0
1212,9110,3,20,53,69,MEDIUM,0
1212,9110,3,11,68,70,SOFT,0
