date,session_key,driver_number,lap_number,meeting_key,pit_duration,lane_duration,stop_duration
2023-11-19T06:06:40.131000+00:00,9189,11,1,1225,33.5,33.5,
2023-11-19T06:06:56.818000+00:00,9189,14,1,1225,29.3,29.3,
2023-11-19T06:07:14.818000+00:00,9189,77,1,1225,43.9,43.9,
2023-11-19T06:10:29.283000+00:00,9189,18,3,1225,22.2,22.2,
2023-11-19T06:10:41.158000+00:00,9189,55,3,1225,21.2,21.2,
2023-11-19T06:25:48.048000+00:00,9189,22,10,1225,20.6,20.6,
2023-11-19T06:29:08.123000+00:00,9189,27,12,1225,22.1,22.1,
2023-11-19T06:32:24.760000+00:00,9189,20,14,1225,21.6,21.6,
2023-11-19T06:33:50.836000+00:00,9189,63,15,1225,21.2,21.2,
2023-11-19T06:34:02.508000+00:00,9189,2,15,1225,21.3,21.3,
2023-11-19T06:35:32.163000+00:00,9189,1,16,1225,26.6,26.6,
2023-11-19T06:35:38.928000+00:00,9189,23,16,1225,21.2,21.2,
2023-11-19T06:35:43.334000+00:00,9189,81,16,1225,23.2,23.2,
2023-11-19T06:37:16.630000+00:00,9189,10,17,1225,22.2,22.2,
2023-11-19T06:37:36.489000+00:00,9189,3,17,1225,22.2,22.2,
2023-11-19T06:37:37.520000+00:00,9189,44,17,1225,25.0,25.0,
2023-11-19T06:42:20.437000+00:00,9189,31,20,1225,21.7,21.7,
2023-11-19T06:43:41.467000+00:00,9189,16,21,1225,22.5,22.5,
2023-11-19T06:44:38.372000+00:00,9189,22,21,1225,20.8,20.8,
2023-11-19T06:49:32.226000+00:00,9189,77,24,1225,21.5,21.5,
2023-11-19T06:52:14.786000+00:00,9189,11,26,1225,21.5,21.5,
2023-11-19T06:52:30.348000+00:00,9189,1,26,1225,21.3,21.3,
2023-11-19T06:52:30.957000+00:00,9189,18,26,1225,22.5,22.5,
2023-11-19T06:52:33.926000+00:00,9189,63,26,1225,21.9,21.9,
2023-11-19T06:52:36.863000+00:00,9189,55,26,1225,22.6,22.6,
2023-11-19T06:52:41.519000+00:00,9189,14,26,1225,23.2,23.2,
2023-11-19T06:52:49.676000+00:00,9189,24,26,1225,22.1,22.1,
2023-11-19T06:53:01.316000+00:00,9189,20,26,1225,21.8,21.8,
2023-11-19T06:53:08.363000+00:00,9189,27,26,1225,25.4,25.4,
2023-11-19T06:53:12.597000+00:00,9189,44,26,1225,22.5,22.5,
2023-11-19T07:22:32.753000+00:00,9189,81,43,1225,20.5,20.5,
