date,session_key,stop_duration,meeting_key,lap_number,driver_number,pit_duration,lane_duration
2023-09-03T13:38:35.432000+00:00,9157,,1218,10,10,27.3,27.3
2023-09-03T13:39:58.556000+00:00,9157,,1218,11,24,24.3,24.3
2023-09-03T13:41:37.664000+00:00,9157,,1218,12,20,24.6,24.6
2023-09-03T13:42:51.944000+00:00,9157,,1218,13,40,24.2,24.2
2023-09-03T13:44:22.740000+00:00,9157,,1218,14,2,24.7,24.7
2023-09-03T13:44:23.021000+00:00,9157,,1218,14,27,26.0,26.0
2023-09-03T13:45:38.552000+00:00,9157,,1218,15,23,24.5,24.5
2023-09-03T13:51:17.736000+00:00,9157,,1218,19,55,25.1,25.1
2023-09-03T13:51:20.751000+00:00,9157,,1218,19,63,24.2,24.2
2023-09-03T13:52:38.344000+00:00,9157,,1218,20,1,24.2,24.2
2023-09-03T13:52:44.031000+00:00,9157,,1218,20,16,23.9,23.9
2023-09-03T13:53:16.531000+00:00,9157,,1218,20,18,25.6,25.6
2023-09-03T13:54:11.031000+00:00,9157,,1218,21,11,23.8,23.8
2023-09-03T13:54:28.858000+00:00,9157,,1218,21,14,24.7,24.7
2023-09-03T13:55:50.951000+00:00,9157,,1218,22,4,23.7,23.7
2023-09-03T13:57:18.185000+00:00,9157,,1218,23,81,24.1,24.1
2023-09-03T13:59:09.918000+00:00,9157,,1218,24,31,24.2,24.2
2023-09-03T14:00:31.198000+00:00,9157,,1218,25,77,24.6,24.6
2023-09-03T14:03:10.712000+00:00,9157,,1218,27,44,24.2,24.2
2023-09-03T14:09:34.036000+00:00,9157,,1218,31,10,24.6,24.6
2023-09-03T14:12:20.987000+00:00,9157,,1218,33,40,24.2,24.2
2023-09-03T14:12:25.190000+00:00,9157,,1218,33,24,25.9,25.9
2023-09-03T14:12:41.034000+00:00,9157,,1218,33,20,24.7,24.7
2023-09-03T14:21:17.278000+00:00,9157,,1218,39,27,24.3,24.3
2023-09-03T14:23:53.651000+00:00,9157,,1218,41,81,31.7,31.7
