meeting_key,session_key,stint_number,driver_number,lap_start,lap_end,compound,tyre_age_at_start
1226,9197,1,20,1,5,MEDIUM,0
1226,9197,1,11,1,17,MEDIUM,0
1226,9197,1,44,1,15,MEDIUM,0
1226,9197,1,4,1,14,MEDIUM,0
1226,9197,1,24,1,13,MEDIUM,0
1226,9197,1,31,1,15,MEDIUM,0
1226,9197,1,22,1,22,MEDIUM,0
1226,9197,1,55,1,23,HARD,0
1226,9197,1,3,1,7,MEDIUM,0
1226,9197,1,63,1,14,MEDIUM,0
1226,9197,1,77,1,29,HARD,0
1226,9197,1,10,1,17,MEDIUM,0
1226,9197,1,1,1,16,MEDIUM,0
1226,9197,1,81,1,13,MEDIUM,0
1226,9197,1,14,1,12,MEDIUM,0
1226,9197,1,16,1,17,MEDIUM,0
1226,9197,1,27,1,13,MEDIUM,0
1226,9197,1,18,1,22,HARD,1
1226,9197,1,23,1,16,MEDIUM,1
1226,9197,1,2,1,15,MEDIUM,1
1226,9197,2,20,6,22,HARD,0
1226,9197,2,3,8,31,HARD,0
1226,9197,2,14,13,36,HARD,1
1226,9197,2,81,14,36,HARD,0
1226,9197,2,27,14,33,HARD,0
1226,9197,2,24,14,37,HARD,0
1226,9197,2,4,15,33,HARD,0
1226,9197,2,63,15,34,HARD,0
1226,9197,2,31,16,58,HARD,0
1226,9197,2,44,16,35,HARD,0
1226,9197,2,2,16,41,HARD,0
1226,9197,2,1,17,43,HARD,0
1226,9197,2,23,17,43,HARD,0
1226,9197,2,16,18,35,HARD,0
1226,9197,2,11,18,42,HARD,0
1226,9197,2,10,18,32,HARD,0
1226,9197,2,22,23,58,HARD,0
1226,9197,2,18,23,42,HARD,1
1226,9197,3,20,23,57,HARD,0
1226,9197,2,55,24,56,HARD,0
1226,9197,2,77,30,57,MEDIUM,0
1226,9197,3,3,32,58,HARD,0
1226,9197,3,10,33,58,HARD,0
1226,9197,3,4,34,58,HARD,0
1226,9197,3,27,34,58,HARD,0
1226,9197,3,63,35,58,HARD,0
1226,9197,3,16,36,58,HARD,0
1226,9197,3,44,36,58,HARD,0
1226,9197,3,81,37,58,HARD,0
1226,9197,3,14,37,58,HARD,1
1226,9197,3,24,38,58,MEDIUM,0
1226,9197,3,2,42,58,HARD,0
1226,9197,3,11,43,58,HARD,0
1226,9197,3,18,43,58,MEDIUM,0
1226,9197,3,1,44,58,HARD,0
1226,9197,3,23,44,58,HARD,0
1226,9197,3,55,57,57,SOFT,0
