date,session_key,meeting_key,driver_number,lap_number,lane_duration,pit_duration,stop_duration
2023-11-26T13:11:39.528000+00:00,9197,1226,20,5,22.7,22.7,
2023-11-26T13:14:37.589000+00:00,9197,1226,3,7,21.6,21.6,
2023-11-26T13:22:07.037000+00:00,9197,1226,14,12,22.4,22.4,
2023-11-26T13:23:35.848000+00:00,9197,1226,81,13,21.6,21.6,
2023-11-26T13:23:47.614000+00:00,9197,1226,27,13,21.8,21.8,
2023-11-26T13:23:51.395000+00:00,9197,1226,24,13,22.8,22.8,
2023-11-26T13:25:04.660000+00:00,9197,1226,63,14,21.6,21.6,
2023-11-26T13:25:05.129000+00:00,9197,1226,4,14,24.0,24.0,
2023-11-26T13:26:44.159000+00:00,9197,1226,44,15,22.1,22.1,
2023-11-26T13:26:45.128000+00:00,9197,1226,31,15,22.1,22.1,
2023-11-26T13:26:58.221000+00:00,9197,1226,2,15,22.1,22.1,
2023-11-26T13:27:58.955000+00:00,9197,1226,1,16,21.6,21.6,
2023-11-26T13:28:27.548000+00:00,9197,1226,23,16,22.1,22.1,
2023-11-26T13:29:31.907000+00:00,9197,1226,16,17,21.9,21.9,
2023-11-26T13:29:43.610000+00:00,9197,1226,11,17,21.4,21.4,
2023-11-26T13:29:49.782000+00:00,9197,1226,10,17,23.0,23.0,
2023-11-26T13:37:16.167000+00:00,9197,1226,22,22,21.4,21.4,
2023-11-26T13:37:21.792000+00:00,9197,1226,18,22,21.8,21.8,
2023-11-26T13:37:53.370000+00:00,9197,1226,20,22,22.1,22.1,
2023-11-26T13:38:58.291000+00:00,9197,1226,55,23,21.2,21.2,
2023-11-26T13:48:24.863000+00:00,9197,1226,77,29,22.6,22.6,
2023-11-26T13:51:14.017000+00:00,9197,1226,3,31,21.7,21.7,
2023-11-26T13:52:50.297000+00:00,9197,1226,10,32,23.4,23.4,
2023-11-26T13:53:53.484000+00:00,9197,1226,4,33,21.4,21.4,
2023-11-26T13:54:27.577000+00:00,9197,1226,27,33,22.0,22.0,
2023-11-26T13:55:20.374000+00:00,9197,1226,63,34,22.0,22.0,
2023-11-26T13:56:47.498000+00:00,9197,1226,16,35,21.2,21.2,
2023-11-26T13:57:05.138000+00:00,9197,1226,44,35,22.0,22.0,
2023-11-26T13:58:30.168000+00:00,9197,1226,81,36,21.1,21.1,
2023-11-26T13:58:33.621000+00:00,9197,1226,14,36,21.8,21.8,
2023-11-26T14:00:35.448000+00:00,9197,1226,24,37,22.3,22.3,
2023-11-26T14:06:42.506000+00:00,9197,1226,2,41,21.8,21.8,
2023-11-26T14:07:17.818000+00:00,9197,1226,11,42,21.2,21.2,
2023-11-26T14:07:42.678000+00:00,9197,1226,18,42,21.6,21.6,
2023-11-26T14:08:30.771000+00:00,9197,1226,1,43,21.2,21.2,
2023-11-26T14:09:32.067000+00:00,9197,1226,23,43,21.9,21.9,
2023-11-26T14:28:46.679000+00:00,9197,1226,55,56,21.5,21.5,
