date,session_key,pit_duration,meeting_key,driver_number,lap_number,lane_duration,stop_duration
2023-06-04T13:05:22.607000+00:00,9102,37.7,1211,4,1,37.7,
2023-06-04T13:10:42.773000+00:00,9102,23.6,1211,77,5,23.6,
2023-06-04T13:14:44.785000+00:00,9102,22.2,1211,27,8,22.2,
2023-06-04T13:16:02.690000+00:00,9102,23.4,1211,24,9,23.4,
2023-06-04T13:16:07.674000+00:00,9102,22.5,1211,21,9,22.5,
2023-06-04T13:17:23.938000+00:00,9102,22.1,1211,22,10,22.1,
2023-06-04T13:17:29.391000+00:00,9102,22.1,1211,20,10,22.1,
2023-06-04T13:21:24.402000+00:00,9102,22.1,1211,31,13,22.1,
2023-06-04T13:22:41.917000+00:00,9102,22.3,1211,18,14,22.3,
2023-06-04T13:23:56.212000+00:00,9102,22.3,1211,55,15,22.3,
2023-06-04T13:25:39.726000+00:00,9102,21.7,1211,16,16,21.7,
2023-06-04T13:25:48.070000+00:00,9102,23.3,1211,23,16,23.3,
2023-06-04T13:26:55.740000+00:00,9102,22.3,1211,81,17,22.3,
2023-06-04T13:27:13.177000+00:00,9102,22.5,1211,2,17,22.5,
2023-06-04T13:29:32.284000+00:00,9102,22.5,1211,14,19,22.5,
2023-06-04T13:29:42.394000+00:00,9102,23.3,1211,10,19,23.3,
2023-06-04T13:34:13.936000+00:00,9102,22.8,1211,4,22,22.8,
2023-06-04T13:36:00.934000+00:00,9102,22.5,1211,44,24,22.5,
2023-06-04T13:36:51.636000+00:00,9102,24.8,1211,20,24,24.8,
2023-06-04T13:37:30.510000+00:00,9102,22.2,1211,63,25,22.2,
2023-06-04T13:38:29.056000+00:00,9102,22.2,1211,1,26,22.2,
2023-06-04T13:39:27.836000+00:00,9102,23.2,1211,27,26,23.2,
2023-06-04T13:40:19.241000+00:00,9102,21.7,1211,11,27,21.7,
2023-06-04T13:49:58.247000+00:00,9102,23.3,1211,18,34,23.3,
2023-06-04T13:50:01.059000+00:00,9102,22.0,1211,22,34,22.0,
2023-06-04T13:51:21.730000+00:00,9102,24.1,1211,31,35,24.1,
2023-06-04T13:52:48.775000+00:00,9102,22.8,1211,24,36,22.8,
2023-06-04T13:53:18.056000+00:00,9102,23.8,1211,2,36,23.8,
2023-06-04T13:54:36.804000+00:00,9102,23.4,1211,23,37,23.4,
2023-06-04T13:55:39.834000+00:00,9102,21.9,1211,21,38,21.9,
2023-06-04T13:56:52.146000+00:00,9102,22.8,1211,81,39,22.8,
2023-06-04T13:56:54.067000+00:00,9102,23.6,1211,10,39,23.6,
2023-06-04T13:57:22.504000+00:00,9102,24.0,1211,77,39,24.0,
2023-06-04T13:59:09.768000+00:00,9102,22.3,1211,55,41,22.3,
2023-06-04T13:59:36.752000+00:00,9102,23.0,1211,16,41,23.0,
2023-06-04T14:01:22.406000+00:00,9102,22.2,1211,20,42,22.2,
2023-06-04T14:02:29.968000+00:00,9102,24.4,1211,27,43,24.4,
2023-06-04T14:03:24.420000+00:00,9102,22.8,1211,14,44,22.8,
2023-06-04T14:04:20.497000+00:00,9102,22.0,1211,63,45,22.0,
2023-06-04T14:10:45.927000+00:00,9102,22.7,1211,44,50,22.7,
2023-06-04T14:11:04.287000+00:00,9102,21.5,1211,11,50,21.5,
2023-06-04T14:12:02.129000+00:00,9102,22.0,1211,4,50,22.0,
2023-06-04T14:13:07.441000+00:00,9102,22.3,1211,1,52,22.3,
